kinase,kinase2,cor_cancer,lrt_cancer,eFDR_cancer
ATM,FER,-0.300997179223801,4.08886945363588,0.0843511450380012
ATM,FES,-0.108894524481222,0.418889710230701,0.628978622327017
ATM,FGFR1,-0.132385434752372,0.334689737782128,0.667741935483074
ATM,FGFR2,-0.337679662505465,5.28806396535049,0.0434042553190533
ATM,FGFR3,-0.186021251967069,0.844424481696024,0.4803617571053
ATM,FGFR4,-0.139026747662737,1.89048659602599,0.271216617210266
ATM,FGR,-0.146024546644692,0.430336987437727,0.625536992839322
ATM,FLT1,-0.0828335639038974,0.127616237011694,0.801758241757329
ATM,FLT3,0.349733408090879,5.02682653608656,0.0514522821575658
ATM,FLT4,-0.120641406236661,0.32198435199507,0.670642201834066
ATM,FRK,0.179970121732663,2.86323762405436,0.155999999999731
ATM,FYN,-0.63889536540268,26.8052290313043,0.000192678227360308
ATM,GAK,-0.447413357153802,15.2858209621911,0.000192678227360308
ATM,GRK1,-0.839672942969239,16.0242786250598,0.000192678227360308
ATM,GRK2,-0.485182538914821,10.1308812159534,0.00363636363635222
ATM,GRK3,-0.237787628199466,2.61739157044553,0.178594249200982
ATM,GRK4,-0.424752804831097,3.50523198218195,0.114234875444629
ATM,GRK5,-0.406484236841748,6.21279786667481,0.029279279279211
ATM,GRK6,-0.374846394211742,7.61553120492283,0.0128712871286799
ATM,GRK7,-0.528221272007372,12.456206984472,0.00149253731342707
ATM,GSK3A,-0.453478535178328,9.12006478624289,0.00795454545452204
ATM,GSK3B,-0.0162319232580989,0.0125309658354809,0.932921810698594
ATM,GUCY2C,-0.014603286192843,-0.0201549396824703,1
ATM,GUCY2D,-0.462119132024512,14.9925960730801,0.000877192982452154
ATM,GUCY2F,-0.641110545930332,21.6931374387271,0.000192678227360308
ATM,HASPIN,0.690857875901986,33.2452858532652,0.000192678227360308
ATM,HCK,-0.129100338043704,0.928120261925187,0.455235602093624
ATM,HIPK1,0.589526012479131,15.0877573770877,0.000892857142853013
ATM,HIPK2,0.669620573024425,21.8732846124605,0.000192678227360308
ATM,HIPK3,0.706929040387192,24.5063241527766,0.000192678227360308
ATM,HIPK4,-0.369116380020378,6.42666219937507,0.0237442922373868
ATM,HUNK,-0.136133838457453,0.872528776080799,0.47124352331543
ATM,IGF1R,-0.292938705394241,3.96906014500632,0.0877777777776094
ATM,IKBKB,0.0923995641487677,0.386615709972602,0.645754716980343
ATM,IKBKE,0.33183273034479,3.29947296777095,0.126388888888662
